,t,x,y,z,e,label
362,2021-03-17 11:38:00,549959.68,4432567.62,901.72,5043.28,0
363,2021-03-17 15:08:00,550028.73,4432781.69,910.44,11097.14,0
364,2021-03-17 16:15:00,550023.97,4432711.18,914.72,10146.43,0
365,2021-03-18 05:09:00,549971.43,4432537.57,914.93,11206.4,0
366,2021-03-18 08:12:00,549985.49,4432702.74,913.21,6046.77,0
367,2021-03-18 08:22:00,550076.15,4432753.66,901.23,5969.99,0
368,2021-03-18 09:56:00,549949.4,4432565.72,904.94,5950.96,0
369,2021-03-18 12:04:00,549931.53,4432542.93,915.96,9461.47,0
370,2021-03-19 06:25:00,549967.23,4432709.69,925.55,4573.68,0
371,2021-03-19 09:56:00,550011.32,4432662.44,908.86,4098.64,0
372,2021-03-19 12:24:00,549961.64,4432671.41,914.59,6381.31,0
373,2021-03-19 15:28:00,549957.71,4432611.75,904.34,4901.67,0
374,2021-03-19 16:01:00,549924.4,4432541.96,916.01,7184.69,0
375,2021-03-19 17:11:00,550008.88,4432727.78,923.82,5162.71,0
376,2021-03-19 17:59:00,550011.25,4432688.37,926.06,5770.67,0
